Position,MeanYear,Longitude,Latitude
Defender,1893,0.5761,51.3308
Forward,1893,-1.8958,52.4961
Forward,1893,-1.9833,52.5833
Forward,1893,-0.1333,51.4994
Defender,1893,-6.3489,54.1761
Forward,1893,-4.5667,55.95
Forward,1893.5,-2.8944,52.9083
Forward,1893.5,-2.3867,53.7553
Defender,1893.5,0.2511,51.5558
Defender,1893.5,-2.6989,53.7589
Midfielder,1893.5,-2.1728,53.0247
Defender,1893.5,-4.8561,55.2383
,1893.5,-4.5667,55.95
Forward,1893.5,-4.3083,55.8614
Defender,1894,-2.8944,52.9083
Forward,1894,-2.4769,53.745
Goalkeeper,1894,-1.995,52.5189
Midfielder,1894,-1.6381,52.7994
Midfielder,1894,-0.8042,51.5861
Forward,1894,-0.535,52.3939
Forward,1894,-2.4769,53.745
Goalkeeper,1894,-3.9139,55.735
Forward,1894,-3.1833,55.95
Forward,1894,-3.8956,55.7792
Forward,1894.5,-2.4769,53.745
Goalkeeper,1894.5,-2.97,56.4639
Midfielder,1894.5,-4.5667,55.95
Forward,1894.5,-4.2589,55.8581
Forward,1895,-0.1275,51.5072
Midfielder,1895,-0.1908,51.5003
Defender,1895,-1.5833,54.6167
Forward,1895,-1.8806,52.8181
Forward,1895,-4.4511,56.065
Forward,1895,-4.2589,55.8581
Goalkeeper,1895,-2.5858,56.5614
Forward,1895,-4.2589,55.8581
Forward,1895,-4.7642,55.9494
Midfielder,1895.5,-2.1878,53.0067
Forward,1895.5,-0.7733,53.4017
Forward,1896,-2.6989,53.7589
Forward,1896,-2.0039,52.6139
Defender,1896,-4.6861,55.755
Defender,1896,-3.4714,55.9344
Forward,1896,-4.6289,55.4581
Defender,1896,-3.5686,55.8519
Forward,1896,-4.5667,55.9833
Defender,1896.5,-4.5739,55.9619
Forward,1896.5,-4.3789,55.5161
Forward,1896.5,-4.2589,55.8581
Forward,1897,-2.9833,53.4
Goalkeeper,1897,-2.4678,52.6639
Midfielder,1897,-0.1447,51.5717
Midfielder,1897,-1.4319,53.4119
Defender,1897,-4.2589,55.8581
Forward,1897,-3.6106,55.9792
Forward,1897,-3.1889,55.9531
Goalkeeper,1897,-4.0667,55.9833
Goalkeeper,1897,-4.2589,55.8581
Defender,1897.5,-4.5739,55.9619
Defender,1897.5,-3.7994,56.1531
Forward,1898,-0.5844,52.3058
Forward,1898,-1.6381,52.7994
Midfielder,1898,-1.3811,54.9061
