PlayerName,Country,Age,Height,Position,YearsPlayed,MeanYear,Appearances,Goals,BirthPlace,Longitude,Latitude
Miguel Rebosio,Peru,37,1.73,Defender,1997-2005,2001,60,0,Lima,-77.0283,-12.0433
Hansell Riojas,Peru,22,,Defender,2014-,2014,1,0,Callao,-77.1333,-12.0333
Christian Ramos,Peru,25,1.81,Defender,2009-,2011.5,12,1,Lima,-77.0283,-12.0433
Juan Reynoso Guzm&#xE1;n,Peru,44,1.81,Defender,1986-2000,1993,84,5,Lima,-77.0283,-12.0433
Eladio Reyes,Peru,66,,Defender,,,,,Peru,-77.0167,-12.0333
Oswaldo Ram&#xED;rez,Peru,67,1.78,Forward,1969-1982,1975.5,57,17,Lima,-77.0283,-12.0433
Julio Rivera,Peru,47,1.68,Midfielder,1992-1997,1994.5,34,0,Lima,-77.0283,-12.0433
Willy Rivas,Peru,29,1.74,Defender,2010-,2012,2,0,San Vicente de Ca&#xF1;ete,-76.4,-13.0833
Alberto Junior Rodr&#xED;guez,Peru,30,1.82,Defender,2003-,2008.5,50,0,Lima,-77.0283,-12.0433
Luis Rubi&#xF1;os,Peru,73,1.8,Goalkeeper,1963-1972,1967.5,38,0,Peru,-77.0167,-12.0333
Mart&#xED;n Rodr&#xED;guez (footballer born 1968),Peru,46,1.82,Midfielder,1991-1995,1993,19,0,Lima,-77.0283,-12.0433
Luis Reyna,Peru,55,,Midfielder,1980-1989,1984.5,38,1,Peru,-77.0167,-12.0333
Percy Rojas,Peru,65,1.76,Forward,1969-1982,1975.5,49,7,Lima,-77.0283,-12.0433
Ra&#xFA;l Ruid&#xED;az,Peru,24,1.67,Forward,2011-,2012.5,7,0,Villa Mar&#xED;a del Triunfo,-76.9294,-12.1581
C&#xE9;sar Rosales,Peru,43,1.75,Midfielder,1994-1997,1995.5,4,0,Lima,-77.0283,-12.0433
Junior Ross,Peru,28,1.78,Midfielder,2005-,2009.5,10,0,Bellavista District,-77.1286,-12.0625
Alexander S&#xE1;nchez,Peru,30,1.77,Midfielder,2006-,2010,12,1,Lima,-77.0283,-12.0433
Marco Ruiz (footballer),Peru,35,1.82,Midfielder,2003,2003,1,0,Lima,-77.0283,-12.0433
F&#xE9;lix Salinas,Peru,75,,Defender,,,,,Peru,-77.0167,-12.0333
Roger Serrano,Peru,,1.75,Midfielder,,,,,Chep&#xE9;n,-79.4297,-7.2269
Jorge Sarmiento,Peru,,,Forward,,,,,Lima,-77.0283,-12.0433
Nolberto Solano,Peru,39,1.75,Midfielder,1994-2009,2001.5,95,20,Callao,-77.1333,-12.0333
Juan Seminario,Peru,78,,Forward,1956-1959,1957.5,19,6,Piura,-80.6333,-5.2
Antonio Serrano (footballer),Peru,35,1.8,Forward,,,,,Saposoa,-76.7717,-6.9361
Hilden Salas,Peru,34,1.78,Midfielder,2005,2005,2,0,Arequipa,-71.5367,-16.3986
Roberto Silva,Peru,38,1.91,Forward,,,11,2,Lima,-77.0283,-12.0433
Jos&#xE9; del Solar,Peru,43,1.87,Midfielder,1991-2002,1996.5,80,19,Lima,-77.0283,-12.0433
Alberto Soria,Peru,,,Defender,,,,,Peru,-77.0167,-12.0333
Renzo Sheput,Peru,34,1.71,Midfielder,2010-,2012,2,0,Lima,-77.0283,-12.0433
Jos&#xE9; Soriano (footballer),Peru,,,Goalkeeper,1942,1942,1,0,Chiclayo,-79.8364,-6.7628
Johan Sotil,Peru,32,1.7,Midfielder,2003-,2008.5,2,0,Lima,-77.0283,-12.0433
Carlos Solis (footballer),Peru,32,1.83,Defender,2007,2007,1,0,Lima,-77.0283,-12.0433
Fidel Su&#xE1;rez,Peru,,,,,,,,Tumbes,,
Hugo Sotil,Peru,68,,Forward,1970-1978,1974,62,18,Ica Peru,-75.7333,-14.0667
David Soria Yoshinari,Peru,37,1.73,Midfielder,2000,2000,12,0,Lima,-77.0283,-12.0433
Eleazar Soria,Peru,66,1.81,defense,1969-1980,1974.5,,,Lima,-77.0283,-12.0433
Luis de Souza Ferreira,Peru,,1.78,Forward,1929-1934,1931.5,2,4,Lima,-77.0283,-12.0433
Jos&#xE9; Soto,Peru,44,1.82,Defender,1992-2003,1997.5,75,3,Lima,-77.0283,-12.0433
Jorge Soto (footballer),Peru,42,1.78,Midfielder,1992-2007,1999.5,101,9,Lima,-77.0283,-12.0433
Miguel Angel Torres,Peru,32,1.77,Midfielder,2008-,2011,5,0,Lima,-77.0283,-12.0433
Mart&#xED;n Tenem&#xE1;s,Peru,29,1.7,Defender,2005,2005,1,0,Lima,-77.0283,-12.0433
Orlando de la Torre,Peru,70,1.74,Defender,1967-1973,1970,39,0,Trujillo Peru,-79.0286,-8.1119
Jean Tragodara,Peru,28,1.78,Midfielder,2010-2011,2010.5,5,1,Lima,-77.0283,-12.0433
Luis Trujillo,Peru,23,1.74,Defender,2009-,2011.5,5,0,Talara,-81.2717,-4.5797
Rainer Torres,Peru,34,1.69,Midfielder,2005-,2009.5,23,0,Callao,-77.1333,-12.0333
Freddy Ternero,Peru,52,,Defender,,,,,Peru,-77.0167,-12.0333
&#xC1;ngel Uribe,Peru,71,1.72,Forward,1960-1967,1963.5,10,2,Lima,-77.0283,-12.0433
Alexis Ubill&#xFA;s,Peru,41,1.78,Defender,1994-2001,1997.5,11,0,Lima,-77.0283,-12.0433
